Date,Value
2021-01-04,47.47
2021-01-05,49.78
2021-01-06,50.45
2021-01-07,50.63
2021-01-08,52.14
2021-01-11,52.15
2021-01-12,53.08
2021-01-13,52.81
2021-01-14,53.47
2021-01-15,52.25
2021-01-19,52.87
2021-01-20,53.16
2021-01-21,53.0
2021-01-22,52.28
2021-01-25,52.78
2021-01-26,52.61
2021-01-27,52.81
2021-01-28,52.26
2021-01-29,52.16
2021-02-01,53.55
2021-02-02,54.77
2021-02-03,55.67
2021-02-04,56.19
2021-02-05,56.8
2021-02-08,57.95
2021-02-09,58.34
2021-02-10,58.69
2021-02-11,58.22
2021-02-12,59.5
2021-02-16,60.07
2021-02-17,61.09
2021-02-18,60.4
2021-02-19,59.12
2021-02-22,61.67
2021-02-23,61.66
2021-02-24,63.21
2021-02-25,63.43
2021-02-26,61.55
2021-03-01,60.54
2021-03-02,59.7
2021-03-03,61.33
2021-03-04,63.81
2021-03-05,66.08
2021-03-08,65.03
2021-03-09,64.02
2021-03-10,64.45
2021-03-11,66.02
2021-03-12,65.59
2021-03-15,65.36
2021-03-16,64.82
2021-03-17,64.55
2021-03-18,59.95
2021-03-19,61.43
2021-03-22,61.48
2021-03-23,57.75
2021-03-24,61.12
2021-03-25,58.47
2021-03-26,60.93
2021-03-29,61.49
2021-03-30,60.55
2021-03-31,59.19
2021-04-01,61.41
2021-04-05,58.73
2021-04-06,59.34
2021-04-07,59.77
2021-04-08,59.61
2021-04-09,59.29
2021-04-12,59.7
2021-04-13,60.2
2021-04-14,63.15
2021-04-15,63.42
2021-04-16,63.16
2021-04-19,63.33
2021-04-20,62.61
2021-04-21,61.34
2021-04-22,61.45
2021-04-23,62.18
2021-04-26,62.02
2021-04-27,63.03
2021-04-28,63.81
2021-04-29,65.0
2021-04-30,63.5
2021-05-03,64.46
2021-05-04,65.72
2021-05-05,65.63
2021-05-06,64.73
2021-05-07,64.96
2021-05-10,64.92
2021-05-11,65.31
2021-05-12,65.96
2021-05-13,63.82
2021-05-14,65.32
2021-05-17,66.24
2021-05-18,65.49
2021-05-19,63.28
2021-05-20,61.95
2021-05-21,63.61
2021-05-24,66.13
2021-05-25,66.27
2021-05-26,66.41
2021-05-27,66.87
2021-05-28,66.31
2021-06-01,67.8
2021-06-02,68.79
2021-06-03,68.81
2021-06-04,69.57
2021-06-07,69.21
2021-06-08,70.11
2021-06-09,69.9
2021-06-10,70.34
2021-06-11,71.0
2021-06-14,70.94
2021-06-15,72.06
2021-06-16,72.03
2021-06-17,71.06
2021-06-18,71.64
2021-06-21,73.64
2021-06-22,73.15
2021-06-23,73.11
2021-06-24,73.31
2021-06-25,74.21
2021-06-28,72.98
2021-06-29,73.14
2021-06-30,73.52
2021-07-01,75.33
2021-07-02,75.37
2021-07-05,75.16
2021-07-06,73.62
2021-07-07,72.22
2021-07-08,72.98
2021-07-09,74.56
2021-07-12,74.21
2021-07-13,75.24
2021-07-14,73.06
2021-07-15,71.67
2021-07-16,71.76
2021-07-19,66.45
2021-07-20,67.32
2021-07-21,70.26
2021-07-22,72.15
2021-07-23,72.24
2021-07-26,72.15
2021-07-27,71.68
2021-07-28,72.37
2021-07-29,73.62
2021-07-30,73.93
2021-08-02,71.31
2021-08-03,70.64
2021-08-04,68.19
2021-08-05,69.1
2021-08-06,68.26
2021-08-09,66.56
2021-08-10,68.33
2021-08-11,69.3
2021-08-12,69.12
2021-08-13,68.36
2021-08-16,67.44
2021-08-17,66.5
2021-08-18,65.36
2021-08-19,63.69
2021-08-20,62.25
2021-08-23,65.65
2021-08-24,67.5
2021-08-25,68.54
2021-08-26,67.42
2021-08-27,68.84
2021-08-30,69.28
2021-08-31,68.43
2021-09-01,68.63
2021-09-02,70.07
2021-09-03,69.34
2021-09-06,69.29
2021-09-07,68.49
2021-09-08,69.36
2021-09-09,68.26
2021-09-10,69.82
2021-09-13,70.54
2021-09-14,70.53
2021-09-15,72.59
2021-09-16,72.69
2021-09-17,72.09
2021-09-20,70.41
2021-09-21,70.51
2021-09-22,72.37
2021-09-23,73.43
2021-09-24,74.18
2021-09-27,75.54
2021-09-28,75.44
2021-09-29,75.06
2021-09-30,75.22
2021-10-01,76.01
2021-10-04,77.68
2021-10-05,79.17
2021-10-06,77.66
2021-10-07,78.46
2021-10-08,79.55
2021-10-11,80.64
2021-10-12,80.75
2021-10-13,80.67
2021-10-14,81.43
2021-10-15,82.39
2021-10-18,82.62
2021-10-19,83.19
2021-10-20,84.4
2021-10-21,82.64
2021-10-22,84.53
2021-10-25,84.64
2021-10-26,85.64
2021-10-27,82.66
2021-10-28,82.78
2021-10-29,83.5
2021-11-01,84.08
2021-11-02,83.91
2021-11-03,80.82
2021-11-04,78.88
2021-11-05,81.25
2021-11-08,81.96
2021-11-09,84.12
2021-11-10,81.23
2021-11-11,81.47
2021-11-12,80.87
2021-11-15,80.85
2021-11-16,80.76
2021-11-17,78.32
2021-11-18,78.92
2021-11-19,76.11
2021-11-22,76.74
2021-11-23,78.32
2021-11-24,78.32
2021-11-26,68.15
2021-11-29,69.88
2021-11-30,66.14
2021-12-01,65.44
2021-12-02,66.6
2021-12-03,66.39
2021-12-06,69.62
2021-12-07,71.94
2021-12-08,72.43
2021-12-09,70.87
2021-12-10,71.71
2021-12-13,71.19
2021-12-14,70.57
2021-12-15,70.89
2021-12-16,72.34
2021-12-17,70.93
2021-12-20,68.69
2021-12-21,71.1
2021-12-22,72.82
2021-12-23,73.89
2021-12-24,73.79
2021-12-26,73.79
2021-12-27,75.49
2021-12-28,76.01
2021-12-29,76.58
2021-12-30,76.83
2021-12-31,75.33
2022-01-03,75.99
2022-01-04,77.0
2022-01-05,77.83
2022-01-06,79.47
2022-01-07,79.0
2022-01-10,78.11
2022-01-11,81.17
2022-01-12,82.51
2022-01-13,81.97
2022-01-14,83.82
2022-01-18,85.42
2022-01-19,86.84
2022-01-20,86.29
2022-01-21,85.16
2022-01-24,84.48
2022-01-25,86.61
2022-01-26,88.33
2022-01-27,87.61
2022-01-28,87.67
2022-01-31,89.16
2022-02-01,88.22
2022-02-02,88.16
2022-02-03,90.17
2022-02-04,92.27
2022-02-07,91.25
2022-02-08,89.32
2022-02-09,89.57
2022-02-10,89.83
2022-02-11,93.1
2022-02-14,95.52
2022-02-15,92.07
2022-02-16,93.83
2022-02-17,91.78
2022-02-18,91.26
2022-02-21,90.554
2022-02-22,92.11
2022-02-23,92.14
2022-02-24,92.77
2022-02-25,91.68
2022-02-28,96.13
2022-03-01,103.66
2022-03-02,110.74
2022-03-03,107.69
2022-03-04,115.77
2022-03-07,119.26
2022-03-08,123.64
2022-03-09,108.81
2022-03-10,105.93
2022-03-11,109.31
2022-03-14,103.22
2022-03-15,96.42
